Temperature(Kelvin),Pressure (Mpa),CaCl2 Concentration (ppm),NaCl Concentration (ppm),KCl Concentration (ppm),MgCl2 Concentration (ppm),CO2 Solubility (mol/kg)
1,0.06809093,0.033333333,0.859201176,0,0,0.147058824
1,0.113823644,0.033333333,0.859201176,0,0,0.254901961
1,0.226405166,0.033333333,0.859201176,0,0,0.446078431
1,0.339212528,0.033333333,0.859201176,0,0,0.593137255
1,0.452471571,0.033333333,0.859201176,0,0,0.637254902
0.71278826,0.011404949,0.033333333,0.859201176,0,0,0.065784314
0.71278826,0.022696977,0.033333333,0.859201176,0,0,0.125980392
0.71278826,0.034214846,0.033333333,0.859201176,0,0,0.18495098
0.71278826,0.045393953,0.033333333,0.859201176,0,0,0.240441176
0.71278826,0.056234301,0.033333333,0.859201176,0,0,0.283480392
0.71278826,0.11201692,0.033333333,0.859201176,0,0,0.431372549
0.71278826,0.169719184,0.033333333,0.859201176,0,0,0.470147059
0.71278826,0.225050122,0.033333333,0.859201176,0,0,0.493186275
0.823127,0.01185663,0.033333333,0.859201176,0,0,0.03627451
0.823127,0.022696977,0.033333333,0.859201176,0,0,0.069607843
0.823127,0.034101925,0.033333333,0.859201176,0,0,0.106470588
0.823127,0.045393953,0.033333333,0.859201176,0,0,0.137303922
0.823127,0.057476424,0.033333333,0.859201176,0,0,0.173970588
0.823127,0.113371963,0.033333333,0.859201176,0,0,0.307892157
0.823127,0.170509626,0.033333333,0.859201176,0,0,0.393284314
0.823127,0.224824282,0.033333333,0.859201176,0,0,0.426960784
0.93346574,0.021906535,0.033333333,0.859201176,0,0,0.045343137
0.93346574,0.034327766,0.033333333,0.859201176,0,0,0.076764706
0.93346574,0.046184395,0.033333333,0.859201176,0,0,0.112107843
0.93346574,0.057476424,0.033333333,0.859201176,0,0,0.138235294
0.93346574,0.113823644,0.033333333,0.859201176,0,0,0.257352941
0.93346574,0.170735467,0.033333333,0.859201176,0,0,0.353333333
0.93346574,0.224824282,0.033333333,0.859201176,0,0,0.426176471
0.71278826,0.011292028,0.033333333,0.859201176,0.133924308,0,0.063970588
0.71278826,0.022696977,0.033333333,0.859201176,0.133924308,0,0.130735294
0.71278826,0.033989005,0.033333333,0.859201176,0.133924308,0,0.184215686
0.71278826,0.045055193,0.033333333,0.859201176,0.133924308,0,0.245245098
0.71278826,0.056460141,0.033333333,0.859201176,0.133924308,0,0.2875
0.71278826,0.113146123,0.033333333,0.859201176,0.133924308,0,0.423039216
0.71278826,0.169719184,0.033333333,0.859201176,0.133924308,0,0.443970588
0.71278826,0.225501804,0.033333333,0.859201176,0.133924308,0,0.482892157
0.823127,0.011630789,0.033333333,0.859201176,0.133924308,0,0.034117647
0.823127,0.023148658,0.033333333,0.859201176,0.133924308,0,0.074068627
0.823127,0.034101925,0.033333333,0.859201176,0.133924308,0,0.105686275
0.823127,0.045619794,0.033333333,0.859201176,0.133924308,0,0.139215686
0.823127,0.057476424,0.033333333,0.859201176,0.133924308,0,0.172696078
0.823127,0.113936565,0.033333333,0.859201176,0.133924308,0,0.295882353
0.823127,0.170396706,0.033333333,0.859201176,0.133924308,0,0.379362745
0.823127,0.224824282,0.033333333,0.859201176,0.133924308,0,0.423529412
0.93346574,0.022584056,0.033333333,0.859201176,0.133924308,0,0.047352941
0.93346574,0.033989005,0.033333333,0.859201176,0.133924308,0,0.078186275
0.93346574,0.045732714,0.033333333,0.859201176,0.133924308,0,0.107794118
0.93346574,0.057815185,0.033333333,0.859201176,0.133924308,0,0.13745098
0.93346574,0.113823644,0.033333333,0.859201176,0.133924308,0,0.255098039
0.93346574,0.169606264,0.033333333,0.859201176,0.133924308,0,0.350588235
0.93346574,0.224937202,0.033333333,0.859201176,0.133924308,0,0.4175
0.657949906,0.001140495,0.031913333,0,0,0,0.015446078
0.657949906,0.001140495,0.048723333,0,0,0,0.014727451
0.657949906,0.001140495,0.06891,0,0,0,0.013940196
0.657949906,0.001140495,0.092476667,0,0,0,0.013221078
0.657949906,0.001140495,0.139606667,0,0,0,0.01174902
0.657949906,0.001140495,0.21205,0,0,0,0.010172549
0.657949906,0.001140495,0.24405,0,0,0,0.009418627
0.657949906,0.001140495,0.040318333,0,0,0,0.015069608
0.657949906,0.001140495,0.095853333,0,0,0,0.013221078
0.657949906,0.001140495,0.154751667,0,0,0,0.011167157
0.657949906,0.001140495,0.215383333,0,0,0,0.009796569
0.657949906,0.001140495,0.279433333,0,0,0,0.008664706
0.657949906,0.001140495,0.35695,0,0,0,0.007156373
0.657949906,0.001140495,0.429483333,0,0,0,0.0064
0.657949906,0.001140495,0.50875,0,0,0,0.00604902
0.657949906,0.001140495,0.650466667,0,0,0,0.004507549
0.657949906,0.001140495,0.717983333,0,0,0,0.00419598
0.657949906,0.001140495,0.883416667,0,0,0,0.003947059
0.713119276,0.057250583,0.166666667,0,0,0,0.278431373
0.713119276,0.112920282,0.166666667,0,0,0,0.406372549
0.713119276,0.169493344,0.166666667,0,0,0,0.433823529
0.713119276,0.225614724,0.166666667,0,0,0,0.448039216
0.713119276,0.057476424,0.5,0,0,0,0.142156863
0.713119276,0.113484884,0.5,0,0,0,0.210294118
0.713119276,0.169606264,0.5,0,0,0,0.229901961
0.713119276,0.224598441,0.5,0,0,0,0.244117647
0.713119276,0.057476424,1,0,0,0,0.084313725
0.713119276,0.113823644,1,0,0,0,0.11127451
0.713119276,0.169154583,1,0,0,0,0.121078431
0.713119276,0.225275963,1,0,0,0,0.123529412
0.823458016,0.058266866,0.166666667,0,0,0,0.165196078
0.823458016,0.11596913,0.166666667,0,0,0,0.278431373
0.823458016,0.171300068,0.166666667,0,0,0,0.350490196
0.823458016,0.226292246,0.166666667,0,0,0,0.4
0.823458016,0.056911822,0.5,0,0,0,0.093627451
0.823458016,0.113371963,0.5,0,0,0,0.156862745
0.823458016,0.169606264,0.5,0,0,0,0.189705882
0.823458016,0.225953485,0.5,0,0,0,0.214215686
0.823458016,0.059170228,1,0,0,0,0.052941176
0.823458016,0.114049485,1,0,0,0,0.083823529
0.823458016,0.169380423,1,0,0,0,0.103431373
0.823458016,0.224824282,1,0,0,0,0.117156863
0.933796756,0.057928105,0.166666667,0,0,0,0.12745098
0.933796756,0.114952847,0.166666667,0,0,0,0.242647059
