Paper Title,Temperature,Temperature Unit,Pressure,Pressure Unit,CaCl2 Concentration,NaCl Concentration,KCl Concentration,MgCl2 Concentration,Concentration Unit,CO2 Solubility,Solubility Unit,Unconverged data (*)
Liu - 2021,298,kelvin,8.26812,MPa,0.137217755,0,0,0,mol/kg,1.3485,mol/kg,
Liu - 2021,298,kelvin,10.33515,MPa,0.137217755,0,0,0,mol/kg,1.3905,mol/kg,
Liu - 2021,298,kelvin,13.7903325,MPa,0.137217755,0,0,0,mol/kg,1.413,mol/kg,
Liu - 2021,298,kelvin,15.8573625,MPa,0.137217755,0,0,0,mol/kg,1.454,mol/kg,*
Liu - 2021,298,kelvin,17.2353825,MPa,0.137217755,0,0,0,mol/kg,1.492,mol/kg,*
Liu - 2021,298,kelvin,19.3024125,MPa,0.137217755,0,0,0,mol/kg,1.497,mol/kg,
Liu - 2021,333,kelvin,0.101325,MPa,0.009019652,0,0,0,mol/kg,0.013,mol/kg,
Liu - 2021,333,kelvin,2.06703,MPa,0.009019652,0,0,0,mol/kg,0.314,mol/kg,
Liu - 2021,333,kelvin,4.13406,MPa,0.009019652,0,0,0,mol/kg,0.511,mol/kg,
Liu - 2021,333,kelvin,6.20109,MPa,0.009019652,0,0,0,mol/kg,0.773,mol/kg,
Liu - 2021,333,kelvin,8.26812,MPa,0.009019652,0,0,0,mol/kg,1.009,mol/kg,
Liu - 2021,333,kelvin,10.33515,MPa,0.009019652,0,0,0,mol/kg,1.039,mol/kg,
Liu - 2021,333,kelvin,13.7903325,MPa,0.009019652,0,0,0,mol/kg,1.13,mol/kg,
Liu - 2021,333,kelvin,15.8573625,MPa,0.009019652,0,0,0,mol/kg,1.171,mol/kg,
Liu - 2021,333,kelvin,17.2353825,MPa,0.009019652,0,0,0,mol/kg,1.2,mol/kg,
Liu - 2021,333,kelvin,19.3024125,MPa,0.009019652,0,0,0,mol/kg,1.218,mol/kg,
Liu - 2021,333,kelvin,0.101325,MPa,0.09101649,0,0,0,mol/kg,0.013,mol/kg,
Liu - 2021,333,kelvin,2.06703,MPa,0.09101649,0,0,0,mol/kg,0.308,mol/kg,
Liu - 2021,333,kelvin,4.13406,MPa,0.09101649,0,0,0,mol/kg,0.561,mol/kg,
Liu - 2021,333,kelvin,6.20109,MPa,0.09101649,0,0,0,mol/kg,0.76,mol/kg,
Liu - 2021,333,kelvin,8.26812,MPa,0.09101649,0,0,0,mol/kg,0.91,mol/kg,
Liu - 2021,333,kelvin,10.33515,MPa,0.09101649,0,0,0,mol/kg,1.113,mol/kg,
Liu - 2021,333,kelvin,13.7903325,MPa,0.09101649,0,0,0,mol/kg,1.12,mol/kg,
Liu - 2021,333,kelvin,15.8573625,MPa,0.09101649,0,0,0,mol/kg,1.148,mol/kg,
Liu - 2021,333,kelvin,17.2353825,MPa,0.09101649,0,0,0,mol/kg,1.168,mol/kg,
Liu - 2021,333,kelvin,19.3024125,MPa,0.09101649,0,0,0,mol/kg,1.211,mol/kg,
Liu - 2021,333,kelvin,0.101325,MPa,0.137217755,0,0,0,mol/kg,0.013,mol/kg,
Liu - 2021,333,kelvin,2.06703,MPa,0.137217755,0,0,0,mol/kg,0.305,mol/kg,
Liu - 2021,333,kelvin,4.13406,MPa,0.137217755,0,0,0,mol/kg,0.556,mol/kg,
Liu - 2021,333,kelvin,6.20109,MPa,0.137217755,0,0,0,mol/kg,0.747,mol/kg,
Liu - 2021,333,kelvin,8.26812,MPa,0.137217755,0,0,0,mol/kg,0.901,mol/kg,
Liu - 2021,333,kelvin,10.33515,MPa,0.137217755,0,0,0,mol/kg,1.388,mol/kg,
Liu - 2021,333,kelvin,13.7903325,MPa,0.137217755,0,0,0,mol/kg,1.412,mol/kg,
Liu - 2021,333,kelvin,15.8573625,MPa,0.137217755,0,0,0,mol/kg,1.146,mol/kg,
Liu - 2021,333,kelvin,17.2353825,MPa,0.137217755,0,0,0,mol/kg,1.156,mol/kg,
Liu - 2021,333,kelvin,19.3024125,MPa,0.137217755,0,0,0,mol/kg,1.183,mol/kg,
Liu - 2021,353,kelvin,2.06703,MPa,0.009019652,0,0,0,mol/kg,0.21,mol/kg,
Liu - 2021,353,kelvin,4.13406,MPa,0.009019652,0,0,0,mol/kg,0.455,mol/kg,
Liu - 2021,353,kelvin,6.20109,MPa,0.009019652,0,0,0,mol/kg,0.591,mol/kg,
Liu - 2021,353,kelvin,8.26812,MPa,0.009019652,0,0,0,mol/kg,0.7702,mol/kg,
Liu - 2021,353,kelvin,10.33515,MPa,0.009019652,0,0,0,mol/kg,0.8823,mol/kg,
Liu - 2021,353,kelvin,13.7903325,MPa,0.009019652,0,0,0,mol/kg,1.011,mol/kg,
Liu - 2021,353,kelvin,15.8573625,MPa,0.009019652,0,0,0,mol/kg,1.066,mol/kg,
Liu - 2021,353,kelvin,17.2353825,MPa,0.009019652,0,0,0,mol/kg,1.099,mol/kg,
Liu - 2021,353,kelvin,19.3024125,MPa,0.009019652,0,0,0,mol/kg,1.139,mol/kg,
Liu - 2021,353,kelvin,2.06703,MPa,0.09101649,0,0,0,mol/kg,0.203,mol/kg,
Liu - 2021,353,kelvin,4.13406,MPa,0.09101649,0,0,0,mol/kg,0.423,mol/kg,
